yield_stress,solution_time,x,flow_depth,x_ratio,h_ratio
50,180.0,1523.95,2.9641706172,4.9965573770491805,0.09718592187540984
50,180.0,1524.05,2.964191469,4.996885245901639,0.09718660554098361
50,180.0,1524.15,2.9642122793,4.997213114754099,0.09718728784590164
50,180.0,1524.25,2.9642330433,4.997540983606557,0.09718796863278689
50,180.0,1524.35,2.9642537562,4.997868852459016,0.09718864774426231
50,180.0,1524.45,2.964274414,4.9981967213114755,0.09718932504918033
50,180.0,1524.55,2.9642950126,4.998524590163934,0.09719000041311475
50,180.0,1524.65,2.9643155486,4.998852459016394,0.09719067372459017
50,180.0,1524.75,2.964336019,4.999180327868852,0.0971913448852459
50,180.0,1524.85,2.9643564211,4.999508196721311,0.09719201380655738
50,180.0,1524.95,2.9643767529,4.999836065573771,0.09719268042295082
50,180.0,1525.05,2.9643970128,5.000163934426229,0.09719334468196722
50,180.0,1525.15,2.9644171997,5.000491803278689,0.09719400654754098
50,180.0,1525.25,2.9644373133,5.000819672131148,0.09719466600983606
50,180.0,1525.35,2.9644573537,5.001147540983606,0.09719532307213115
50,180.0,1525.45,2.9644773215,5.001475409836066,0.09719597775409836
50,180.0,1525.55,2.9644972182,5.0018032786885245,0.09719663010491804
50,180.0,1525.65,2.9645170458,5.002131147540984,0.09719728019016394
50,180.0,1525.75,2.9645368069,5.002459016393443,0.09719792809508197
50,180.0,1525.85,2.9645565049,5.002786885245901,0.09719857393114754
50,180.0,1525.95,2.9645761437,5.003114754098361,0.0971992178262295
50,180.0,1526.05,2.964595728,5.0034426229508195,0.09719985993442623
50,180.0,1526.15,2.9646152631,5.003770491803279,0.09720050042950819
50,180.0,1526.25,2.9646347548,5.004098360655738,0.09720113950163935
50,180.0,1526.35,2.9646542098,5.004426229508196,0.09720177737049181
50,180.0,1526.45,2.9646736353,5.004754098360656,0.09720241427213115
50,180.0,1526.55,2.964693039,5.005081967213115,0.0972030504590164
50,180.0,1526.65,2.9647124294,5.005409836065574,0.09720368620983606
50,180.0,1526.75,2.9647318154,5.005737704918033,0.09720432181639344
50,180.0,1526.85,2.9647512065,5.006065573770491,0.09720495759016393
50,180.0,1526.95,2.9647706128,5.006393442622951,0.09720559386229509
50,180.0,1527.05,2.9647900446,5.00672131147541,0.0972062309704918
50,180.0,1527.15,2.964809513,5.007049180327869,0.09720686927868853
50,180.0,1527.25,2.9648290292,5.007377049180328,0.09720750915409837
50,180.0,1527.35,2.964848605,5.007704918032786,0.09720815098360655
50,180.0,1527.45,2.9648682524,5.008032786885246,0.09720879516065574
50,180.0,1527.55,2.9648879838,5.008360655737705,0.09720944209180328
50,180.0,1527.65,2.9649078117,5.0086885245901644,0.09721009218688524
50,180.0,1527.75,2.964927749,5.009016393442623,0.09721074586885246
50,180.0,1527.85,2.9649478086,5.009344262295081,0.09721140356065573
50,180.0,1527.95,2.9649680035,5.009672131147541,0.0972120656885246
50,180.0,1528.05,2.964988347,5.01,0.09721273268852458
50,180.0,1528.15,2.9650088521,5.0103278688524595,0.09721340498688524
50,180.0,1528.25,2.965029532,5.010655737704918,0.09721408301639343
50,180.0,1528.35,2.9650503998,5.010983606557377,0.09721476720655738
50,180.0,1528.45,2.9650714682,5.011311475409836,0.0972154579737705
50,180.0,1528.55,2.96509275,5.011639344262295,0.09721615573770492
50,180.0,1528.65,2.9651142575,5.011967213114755,0.09721686090163933
50,180.0,1528.75,2.9651360028,5.012295081967213,0.09721757386229508
50,180.0,1528.85,2.9651579977,5.012622950819672,0.09721829500655738
50,180.0,1528.95,2.9651802531,5.012950819672131,0.09721902469180328
50,180.0,1529.05,2.9652027798,5.01327868852459,0.09721976327213114
50,180.0,1529.15,2.9652255877,5.01360655737705,0.09722051107213114
50,180.0,1529.25,2.9652486861,5.0139344262295085,0.09722126839672131
50,180.0,1529.35,2.9652720834,5.014262295081967,0.09722203552131148
50,180.0,1529.45,2.965295787,5.014590163934426,0.09722281268852459
50,180.0,1529.55,2.9653198035,5.014918032786885,0.09722360011475409
50,180.0,1529.65,2.9653441383,5.015245901639345,0.09722439797704918
50,180.0,1529.75,2.9653687954,5.0155737704918035,0.09722520640655738
50,180.0,1529.85,2.9653937778,5.015901639344262,0.09722602550163935
50,180.0,1529.95,2.9654190869,5.016229508196721,0.09722685530819672
50,180.0,1530.05,2.9654447223,5.01655737704918,0.09722769581311476
50,180.0,1530.15,2.9654706824,5.01688524590164,0.09722854696393442
50,180.0,1530.25,2.9654969634,5.017213114754099,0.09722940863606558
50,180.0,1530.35,2.96552356,5.017540983606557,0.0972302806557377
50,180.0,1530.45,2.9655504646,5.017868852459016,0.0972311627737705
50,180.0,1530.55,2.9655776678,5.018196721311475,0.0972320546819672
50,180.0,1530.65,2.9656051579,5.018524590163935,0.0972329559967213
50,180.0,1530.75,2.9656329209,5.018852459016394,0.0972338662590164
50,180.0,1530.85,2.9656609408,5.0191803278688525,0.09723478494426228
50,180.0,1530.95,2.965689199,5.019508196721311,0.09723571144262294
50,180.0,1531.05,2.9657176746,5.01983606557377,0.09723664506885246
50,180.0,1531.15,2.9657463445,5.02016393442623,0.09723758506557377
50,180.0,1531.25,2.9657751832,5.020491803278689,0.0972385305967213
50,180.0,1531.35,2.9658041629,5.0208196721311475,0.09723948075081967
50,180.0,1531.45,2.9658332535,5.021147540983606,0.0972404345409836
50,180.0,1531.55,2.9658624229,5.021475409836065,0.09724139091475409
50,180.0,1531.65,2.9658916371,5.021803278688525,0.09724234875737704
50,180.0,1531.75,2.9659208599,5.022131147540984,0.09724330688196722
50,180.0,1531.85,2.9659500537,5.022459016393443,0.0972442640557377
50,180.0,1531.95,2.9659791794,5.0227868852459014,0.09724521899672131
50,180.0,1532.05,2.9660081966,5.02311475409836,0.09724617038032786
50,180.0,1532.15,2.9660370641,5.02344262295082,0.09724711685573771
50,180.0,1532.25,2.9660657397,5.023770491803279,0.09724805703934426
50,180.0,1532.35,2.966094181,5.024098360655738,0.0972489895409836
50,180.0,1532.45,2.9661223456,5.0244262295081965,0.0972499129704918
50,180.0,1532.55,2.966150191,5.024754098360655,0.09725082593442623
50,180.0,1532.65,2.9661776756,5.025081967213115,0.09725172706885246
50,180.0,1532.75,2.9662047585,5.025409836065574,0.09725261503278688
50,180.0,1532.85,2.9662314001,5.025737704918033,0.09725348852786884
50,180.0,1532.95,2.9662575625,5.026065573770492,0.0972543463114754
50,180.0,1533.05,2.9662832094,5.02639344262295,0.09725518719344262
50,180.0,1533.15,2.966308307,5.02672131147541,0.09725601006557376
50,180.0,1533.25,2.9663328235,5.027049180327869,0.0972568138852459
50,180.0,1533.35,2.9663567304,5.027377049180328,0.09725759771803279
50,180.0,1533.45,2.9663800016,5.027704918032787,0.09725836070819673
50,180.0,1533.55,2.9664026144,5.0280327868852455,0.09725910211147541
50,180.0,1533.65,2.9664245494,5.028360655737705,0.09725982129180329
50,180.0,1533.75,2.9664457905,5.028688524590164,0.09726051772131147
50,180.0,1533.85,2.9664663251,5.029016393442623,0.09726119098688524
50,180.0,1533.95,2.9664861441,5.029344262295082,0.09726184079016394
50,180.0,1534.05,2.966505242,5.0296721311475405,0.09726246695081968
50,180.0,1534.15,2.9665236167,5.03,0.0972630694
50,180.0,1534.25,2.9665412696,5.030327868852459,0.09726364818360655
50,180.0,1534.35,2.9665582054,5.030655737704918,0.0972642034557377
50,180.0,1534.45,2.9665744318,5.030983606557378,0.09726473546885245
50,180.0,1534.55,2.9665899598,5.031311475409836,0.09726524458360655
50,180.0,1534.65,2.966604803,5.031639344262295,0.09726573124590164
50,180.0,1534.75,2.9666189776,5.031967213114754,0.09726619598688525
50,180.0,1534.85,2.9666325022,5.032295081967213,0.09726663941639344
50,180.0,1534.95,2.9666453975,5.032622950819673,0.09726706221311475
50,180.0,1535.05,2.9666576862,5.032950819672131,0.09726746512131147
50,180.0,1535.15,2.9666693922,5.03327868852459,0.09726784892459016
50,180.0,1535.25,2.9666805413,5.033606557377049,0.09726821446885246
50,180.0,1535.35,2.9666911599,5.033934426229508,0.09726856261967212
50,180.0,1535.45,2.9667012754,5.034262295081968,0.09726889427540984
50,180.0,1535.55,2.9667109159,5.034590163934426,0.09726921035737704
50,180.0,1535.65,2.9667201097,5.034918032786885,0.09726951179344263
50,180.0,1535.75,2.9667288852,5.035245901639344,0.0972697995147541
50,180.0,1535.85,2.9667372707,5.035573770491803,0.09727007444918033
50,180.0,1535.95,2.9667452945,5.035901639344263,0.09727033752459016
